Title	Identifier	Platforms	Website	Development Studio	Studio Location	Publisher	Sponsor	Early Access Date	Release Date	Languages	Media Format	Genres	Awards	Store	Presskit	Articles	Twitter	Development Log	Source	Online Play	Download Page	Direct Download	Trailer Video Link	Logo Direct Link	Screenshot Direct Link	Box Art Direct Link	Description	Credits	Remarks	State (released, unreleased, canceled)	Data Quality
Nim	nim	Custom Hardware	http://www.smaky.ch/chapitre.php?id=lami_1	René Sommer					1968																http://www.smaky.ch/image/lami/nim_sommer.jpg		René Sommer par exemple, actuellement directeur chez Logitech, a gagné le concours La Science appelle les Jeunes en construisant en 1968 une machine jouant au jeu de Nim, ce qui lui permit de participer au US Science Fair Contest.			released	5110
Ball Raider	ballraider	Amiga		Golden Gate Crew		Diamond Software / Robtek			1987			Arcade / Breakout				http://hol.abime.net/20			https://www.mobygames.com/game/ball-raider				https://www.youtube.com/watch?v=cv3Y_C6mbnw		https://www.mobygames.com/images/shots/l/710963-ball-raider-amiga-screenshot-loading-screen.png		To become a member of the Warrior Guild, you must complete 25 levels of Ball Raider in the year 2488. Ball Raider is a Breakout variant where you have to hit a ball with a bat at the bottom of the screen towards bricks at the top of the screen. Your bat catches the ball each time it hits it so you can move your bat elsewhere and press fire to send it towards the bricks again. Once you clear all the bricks then it's onto the next level.	Graphics: Orlando Petermann, written by Heinz Luem, produced by The Golden Gate Crew		released	7132
Jeu d'échecs	jeudchecs	Smaky	http://www.smaky.ch/document.php?id=sminfo_043	Francis Klay, C. Clémençon					1987																http://www.smaky.ch/image/sminfo/sminfo_043_p1.jpg					released	4110
War Heli	warheli	Atari ST		Argonica					1987							http://www.srf.ch/play/tv/archivperlen/video/kap-der-digitalen-hoffnung?id=e925a0cb-6281-4777-832e-6fc276ee4e2e									http://www.atarimania.com/st/screens/war_heli_argonica_3.gif		War Heli was developed in 1987 by the two Swiss crackers M. Heubi und M.  Köhler for the Atari ST platform. War Heli is a vertical shoot 'em up  in a war setting. The player pilots a helicopter through an area where  he has to destroy all enemy tanks. He has to be careful not to hit any  ambulances. If he does so, his score gets set to zero. War Heli is a  challenging game with high standards in graphics and technique for its  time. War Heli came with a then unique feature: you could save the game  to the disk and continue later. Further artists of the Argonica team  were: T. Steimle, R. Gafner and H.P. Gysel.			released	4111
Insanity Fight	insanityfight	Amiga/iOS	http://amiga.haller.ch/index.php/amiga-games/insanity-fight-1987	Christian Haller / Linel	Appenzell	Microdeal			1987	German, English		Shoot-em-Up		https://itunes.apple.com/ch/app/insanity-fight/id844524197?mt=8&ign-mpt=uo%3D4		http://amiga.haller.ch/media-user/insanity-fight/198802-ASM.pdf		http://amiga.haller.ch/index.php/amiga-games/insanity-fight-1987	http://hol.abime.net/2640				https://www.youtube.com/watch?v=NB8zhfQaNBo		http://hol.abime.net/pic_full/screenshot/2601-2700/2640_screen3.png	http://amiga.haller.ch/media-user/insanity-fight/insanityfight_front_thumb.jpg	Now you can carry Insanity Fight in your pocket and play it like in the good old eighties. All graphics soundeffects are identical to the eighties version.	Game idea/concept by Christian Haller and Markus Grimmer. Coding by Christian Haller; intro parallax starfield by Christian Weber (SCI/STA). Graphics by Jann Six, Orlando Petermann, René Straub and Markus Grimmer. Sound by Pascal De Sapio, Helmut Melcher, Claudio Ambrosi and Markus Grimmer.		Released	7353
Blupi at Home	blupiathome	Windows, Smaky	http://www.ceebot.com/blupi/maison-e.php	Epsitec	Belmont	Epsitec			1988														https://www.youtube.com/watch?v=r1g2F8S4bJk		http://www.ceebot.com/blupi/elements/maison/maison.gif		Learn the alphabet with BLUPI When you press a key, Blupi will do something related to the letter pressed. The aim of the game is for the kid to associate each of the 26 letters to each of Blupi's 26 actions. Even if the child cannot read, it will very quickly know which letter leads to which action. For instance, if he presses B, Blupi will take a Bath. What's more, each action is brought up by a short sentence. Some actions lead to simple games : Draw with fun tools. Recognize numbers. Match a shape with its shadow. Spot the odd-one out.	Daniel Roux	http://blupi.wikia.com/wiki/Blupi_at_Home	released	6140
Crack	crack	Amiga		René Straub, Markus Grimmer, Reto Straub, Christian Haller, Christian A. Weber, Orlando Petermann	Appenzell	Linel			1988																http://www.20min.ch/diashow/79200/big/79200-2XL91aaYMPaXqWj0B0hMbQ.jpg					released	3130
Dugger	dugger	Amiga		Christian A. Weber, Jens Eisert, Orlando Petermann, Markus Grimmer, Thorsten Zimmerman					1988																http://www.20min.ch/diashow/79200/big/79200-8gaH398qntBQtUxmOzmBPQ.jpg					released	3110
Clown-o-Mania	clownomania	Amiga, Atari ST		Roman Rossart, Roman Werner		Starbyte			1989							http://www.mobygames.com/game/clown-o-mania							https://www.youtube.com/watch?v=ssMeNvhJFOg		http://www.mobygames.com/images/shots/l/601718-clown-o-mania-amiga-screenshot-the-first-level-the-goal-is.png		In Clown-O-Mania the player takes the role of the clown Beppo who leaves his old profession behind in search of the land of magic crystals. To reach it, he needs to solve 82 isometric levels by collecting all balls and diamonds spread out over the tiles. The levels also have different plains which are changed by either using a ladder or jumping. However, jumps and shots for his gun need to be picked up first - which is made more difficult by the fact that the symbols move over the level. 			released	5121
Leonardo	leonardo	Amiga		Golden Gate Crew		Starbyte			1989			Action							https://www.mobygames.com/game/leonardo				https://www.youtube.com/watch?v=YiYwtwDBlJI		http://www.20min.ch/diashow/79200/big/79200-ZgUKTdW0v_EFSm5XnRNQwg.jpg		In this top-down puzzle oriented game you have to help Leonardo, a little thief, on his criminal trips. Use your joystick to lead Leonardo through 50 different levels including banks, museums, and warehouses. Pressing the fire button of your joystick you can push everything in your way, except walls. Pushed objects won't stop until colliding with other objects or the police officer and his ghost deputy whom are trying to stop your robberies. Every level has a time limit in which you must bring three equal items into one line to complete the level. Each level is larger than the screen, in the lower half of the screen you have a helpful radar for orientation. Running out of time or being caught by the police-men will cost you one of your five lives. If you are able to master the first ten levels you will receive a password, which you can use to start your next game directly on this level. You can unlock more passwords after mastering Level 20 and 30. From Level 30 to the final Level 50 you must master the game with your 5 lives, no more passwords will be given.	Producer: Heinz Luem, Graphics: Orlando Petermann, Programming: René Straub		released	6131
