name,url,developer,year,screenshot,youtube,vimeo,steam,apple,google
AeroDrift,http://sevenonly.com/aerodrift/,SevenOnly,2011,,https://www.youtube.com/watch?v=jYBN-DUe6pQ,,,,
Airships: Conquer the Skies,http://zarkonnen.com/airships,David Stark,2015,http://zarkonnen.com/static/bumble/media/uploads/ascts_building.png,https://www.youtube.com/watch?v=IZysMBTQLtM?rel=0&showinfo=0,,http://store.steampowered.com/app/342560/,,
ASD - Tower Defense,http://code.google.com/p/asd-tower-defense/,4 heig-vd students,2010,http://www.asd-td.com/img/screenshots/Solo2_0beta4.jpg,https://www.youtube.com/watch?v=yV1nRcLD3AY,,,,
aStack,https://itunes.apple.com/ch/app/id915341982,RoceanOne,2015,http://a2.mzstatic.com/eu/r30/Purple1/v4/c4/f5/73/c4f57331-9536-bf1a-b1fd-d4d3ea1ddd84/screen480x480.jpeg,,,,https://itunes.apple.com/ch/artist/marc-mueller/id708196075,
Asylamba,http://asylamba.com/,Asylamba Team,2014,http://asylamba.com/public/media/game/mech/ships.png,,,,,
Athleticooh,http://athleticooh.digidingo.com/,digiDingo,,http://athleticooh.digidingo.com/screen01.png,,,,,
Atomarium,http://www.atomarium.net/,2Beats,2012,http://www.atomarium.net/img/atomarium_screenshot_01.jpg,https://www.youtube.com/watch?v=HcZNeXNj2ds?rel=0&autohide=1&showinfo=0;,,,,
Awwware,http://www.awwware.ch/,Centre for Serious Game Design ZHdK,2011,,,,,,
Battle of SeaSons,https://play.google.com/store/apps/details?id=com.tidalwave.botss,Tidal Wave Games,2014,https://lh6.ggpht.com/6Qxx_5KTDImUNrV6LZ8MIXIToe0bjvak3vKzZ2YCwFsoAIXgb50Mg-cZ5GSz5c9PEF0=h900,,,,,https://play.google.com/intl/de_ch/about/giftcards
Beyond Ynth,http://www.fdg-entertainment.com/iPhone-Games/Beyond-Ynth.html,krabl.com,2009,http://www.fdg-entertainment.com/images/FDG/products/iphone/beyondynth/by_ip4_screen01.jpg,,,,,
Before the Satellite detects you,http://www.and-or.ch/beforethesatellite/,and-or,2010,http://www.and-or.ch/beforethesatellite/pictures/town.png,,,,,
Black Island,http://kaorin.itch.io/black-island,wotokah,2013,http://img.itch.io/aW1hZ2UvMzg2LzE3NTMuanBn/original/rp0lm8.jpg,,,,,
BlockDuel,http://bummzack.ch/projects/blockduel/,bummzack,2011,http://bummzack.ch/assets/Uploads/projects/Screen-1.png,,,,,
Bounce^2,http://mobydickgames.com/,MobyDickGames,2015,http://mobydickgames.com/images/logo.jpg,,,,https://itunes.apple.com/us/app/bounce-2/id959581460?l=de&ls=1&mt=8,https://play.google.com/store/apps/details?id=com.pixcube.kawaiibounce
Boxo,http://www.miniclip.com/games/boxo/en/,Miniclip games,2012,,,,,,
Bubble Islands,http://www.dot-invasion.com/dbis/,Dot Invasion,2007,,,,,,
Buffalooh,http://buffalooh.digidingo.com/,digiDingo,,http://buffalooh.digidingo.com/header03.png,https://www.youtube.com/watch?v=m282AtsntP4?wmode=opaque,,,,
Cannon Crasha,http://www.cannoncrasha.com/,gangogames,2013,http://www.cannoncrasha.com/images/Image1_Full.jpg,,http://player.vimeo.com/video/56482457?byline=0&portrait=0&color=f0b800/,,https://itunes.apple.com/us/app/cannon-crasha/id653132309,https://play.google.com/store/apps/details?id=com.gangogames.cannoncrasha
Caps’Em All,https://itunes.apple.com/us/app/capsem-all/id825016613?mt=8,Zapped Cow,2014,http://a3.mzstatic.com/us/r30/Purple4/v4/a7/ca/6f/a7ca6f54-1756-d545-e555-ac291272b75b/screen568x568.jpeg,,,,https://itunes.apple.com/us/artist/joel-lauener/id721359975,
Cheese Luise,http://cheeseluise.com/,pixxadoo,2013,http://cheeseluise.com/wp-content/uploads/2013/09/BackgroundImage1_2.png,https://www.youtube.com/watch?v=-qTRLe4vCO8?rel=0,,,,
Colorbind,http://www.nonverbal.ch/colorbind.html,Nonverbal,2010,http://www.nonverbal.ch/cb.png,,,,,
Colorooh,http://colorooh.digidingo.com/,digiDingo,2012,http://colorooh.digidingo.com/theme1.png,,,,,
DMBX series,http://www.rndrln-games.com/,RNDRLN Games,,http://www.rndrln-games.com/images/screenshots/MyTP25MAC/MyTP_25_1m.jpg,,,,https://itunes.apple.com/app/id884773491,
Discrimination Pong,http://www.and-or.ch/discriminationpong/,and-or,2010,http://www.and-or.ch/discriminationpong/pictures/griffinPowerMateSetting1.png,,,,,
Drei,http://etter.co/drei/,Etter Studio,2014,http://etter.co/drei/img/drei_front.jpg,https://www.youtube.com/watch?v=2qtWc72PhXs?rel=0&controls=1&modestbranding=1&showinfo=0,,,,
DOPPELSCOPE,http://www.doppelscope.com/,Tobias Baumann,2009,http://www.doppelscope.com/images/doppelscope_v0_3---00.jpg,,,,,
